zip,donations,total,NAME,variable,populationtotal,moe,donation_rate_per_1000
21679,213,5971.209999999999,ZCTA5 21679,totalpopulation,289,120,737.0242214532872
21701,24907,631639.1800000038,ZCTA5 21701,totalpopulation,37017,1104,672.8530134802928
21702,17174,430403.05999999936,ZCTA5 21702,totalpopulation,41815,928,410.7138586631591
21703,8726,203219.95000000024,ZCTA5 21703,totalpopulation,37473,1143,232.86099324847223
21704,5672,213888.01000000007,ZCTA5 21704,totalpopulation,16887,673,335.87967075265
21705,449,9141.1,ZCTA5 21705,totalpopulation,3,8,149666.66666666666
21710,1509,45716.58000000003,ZCTA5 21710,totalpopulation,4859,297,310.5577279275571
21711,30,741,ZCTA5 21711,totalpopulation,1076,277,27.881040892193308
21713,1829,40567.68999999998,ZCTA5 21713,totalpopulation,10728,885,170.48844146159584
21714,426,15300.23,ZCTA5 21714,totalpopulation,216,213,1972.2222222222224
21716,2201,47591.569999999985,ZCTA5 21716,totalpopulation,5078,261,433.43836155966915
21717,97,3016.26,ZCTA5 21717,totalpopulation,77,84,1259.7402597402597
21718,165,4618.8,ZCTA5 21718,totalpopulation,151,53,1092.7152317880796
21719,115,1636.0099999999998,ZCTA5 21719,totalpopulation,1002,158,114.77045908183632
21722,248,4822.030000000004,ZCTA5 21722,totalpopulation,5748,638,43.14544189283229
21723,214,7010.54,ZCTA5 21723,totalpopulation,759,204,281.9499341238472
21727,606,16539.529999999995,ZCTA5 21727,totalpopulation,6792,357,89.2226148409894
21733,95,2380.62,ZCTA5 21733,totalpopulation,897,286,105.90858416945373
21734,137,2700,ZCTA5 21734,totalpopulation,816,191,167.89215686274508
21737,1141,42184.98,ZCTA5 21737,totalpopulation,2462,591,463.4443541835906
21738,2133,91235.83999999994,ZCTA5 21738,totalpopulation,3827,443,557.3556310425921
21740,9084,156266.82999999897,ZCTA5 21740,totalpopulation,61768,1290,147.06644217070328
21742,9377,180980.25000000055,ZCTA5 21742,totalpopulation,33483,1003,280.05256398769524
21750,1588,25647.73999999999,ZCTA5 21750,totalpopulation,3694,275,429.88630211153225
21754,3459,99558.51999999968,ZCTA5 21754,totalpopulation,6667,700,518.8240587970602
21755,2271,65008.77999999997,ZCTA5 21755,totalpopulation,5603,416,405.3185793325004
21756,706,23079.649999999976,ZCTA5 21756,totalpopulation,3056,466,231.02094240837695
21757,121,3157.34,ZCTA5 21757,totalpopulation,2793,262,43.32259219477264
21758,1923,35589.54000000006,ZCTA5 21758,totalpopulation,5127,529,375.07314218841424
21762,127,4213.839999999999,ZCTA5 21762,totalpopulation,202,178,628.7128712871287
21766,28,1177.77,ZCTA5 21766,totalpopulation,483,153,57.971014492753625
21767,79,3614.53,ZCTA5 21767,totalpopulation,650,195,121.53846153846153
21769,3776,108657.45999999992,ZCTA5 21769,totalpopulation,11629,495,324.7054776850976
21770,1985,51007.11,ZCTA5 21770,totalpopulation,5513,576,360.058044621803
21771,8933,209328.0900000004,ZCTA5 21771,totalpopulation,29901,1078,298.7525500819371
21773,1692,26795.68000000001,ZCTA5 21773,totalpopulation,5431,388,311.5448352053029
21774,5176,144050.66000000012,ZCTA5 21774,totalpopulation,13092,348,395.35594256034216
21776,1182,21786.81,ZCTA5 21776,totalpopulation,5516,435,214.28571428571428
21777,720,13418.1,ZCTA5 21777,totalpopulation,1868,216,385.4389721627409
21778,187,2955.6699999999983,ZCTA5 21778,totalpopulation,909,212,205.72057205720574
21779,475,6884.26,ZCTA5 21779,totalpopulation,1032,387,460.27131782945736
21780,227,6613.8499999999995,ZCTA5 21780,totalpopulation,1614,279,140.6443618339529
21781,2,110,ZCTA5 21781,totalpopulation,153,146,13.071895424836601
21782,1239,23007.480000000003,ZCTA5 21782,totalpopulation,4495,482,275.6395995550612
21783,1072,22073.15,ZCTA5 21783,totalpopulation,8894,486,120.53069485046099
21784,9655,257843.1300000003,ZCTA5 21784,totalpopulation,37365,855,258.3968954904322
21787,944,30285.629999999997,ZCTA5 21787,totalpopulation,10173,463,92.79465251155018
21788,2817,109285.4999999998,ZCTA5 21788,totalpopulation,11910,460,236.52392947103274
